sku,category_id
50764048,86512
50655068,87523
50655180,87553
50847454,89041
50604688,88108
50655491,89026
50804413,88153
50808639,92522
50667868,92852
50184840,117965
50193132,88156
50193380,88516
50193380,92360
50432081,92429
50215649,93376
50215816,118572
50079838,109382
50082684,87238
50084019,92300
50084054,88498
50084054,92300
50314002,89812
50433932,98441
50435377,92951
50084359,88678
50084371,88678
50085214,93367
50331148,109505
50331154,109505
50331154,109424
50333618,93080
50436785,86374
50438247,92843
50439252,88510
50439269,92312
50217584,88315
50217708,77246
50088188,92402
50336391,89023
50439281,88510
50439298,88510
50439309,88276
50442397,114012
50218174,88630
50218197,88630
50218577,88114
50099682,86476
50100572,93492
50100589,91240
50346119,74942
50346125,74942
50346943,109577
50451294,109613
50218836,109382
50219478,91458
50219501,91458
50219518,92735
50219530,92735
50100641,88507
50100733,93385
50110404,118076
50348100,109607
50348117,109574
50507287,84423
50548791,106928
50221098,88243
50350851,93139
50549899,92519
50225597,88546
50127137,87904
50137718,92300
50353560,111099
50477200,111114
50225597,92402
50553162,74942
50555085,92465
50555085,91596
50555102,92465
50555102,91596
50230659,107573
50231877,86374
50145501,91458
50145524,91458
50359438,93364
50368652,109604
50368681,109571
50368698,109571
50454210,92384
50454818,88546
50454818,92402
50234618,92276
50249413,87493
50160154,87523
50374080,86815
50380613,87253
50390313,77009
50485265,92534
50488694,87556
50259856,77012
50160183,87523
50161124,88936
50161130,88936
50161130,86512
50407405,87490
50407411,88279
50260024,88123
50262667,87811
50288648,92351
50161274,86710
50161406,93208
50162561,107873
50162578,107606
50162668,107810
50410314,107810
50413432,86374
50472171,88546
50291626,118536
50414008,88921
50488728,87556
5049261,86980
50027906,88921
50177048,92528
50177048,92345
50417898,89821
50212178,88159
50212192,92852
50212537,118572
50212543,118572
50027912,86476
50029017,77012
5042526,103172
50430668,87097
50213444,88684
50069171,88153
50184166,109463
50184172,109463
50184172,109382
51229292,92537
51231017,118716
51174136,109562
51201520,87553
51231979,118860
51231979,118716
51232500,107747
51174303,118863
51174430,118863
51174476,118719
51174482,118863
51174741,88156
51175498,118863
51156481,92462
51156544,92462
51156544,91593
51201883,87553
51232552,107519
51232598,107747
51232609,107519
51232615,107519
51176399,88654
51176408,91261
51176451,107603
51156607,91593
51202542,92312
51234227,92456
51178308,87247
51159748,91458
51159754,92735
51159754,91458
51202634,93376
51202634,74945
51203299,93208
51203299,86710
51203558,87553
51179655,91953
51159817,88159
51160141,91458
51204367,99437
51256950,000000
