sku,store_view_code,price,special_price,special_price_from_date,special_price_to_date,regular_price_per_weight_unit,special_price_per_weight_unit,product_online
10830871,"thailand_gf_th",122,122,25-JAN-24,25-JAN-24,122,122,1
10830871,"thailand_hy_th",118,89,25-JAN-24,21-FEB-24,118,89,1
10866795,"thailand_gf_th",109,109,25-JAN-24,25-JAN-24,109,109,1
10866795,"thailand_hy_th",109,107,25-JAN-24,21-FEB-24,109,107,1
10900403,"thailand_gf_th",95,95,25-JAN-24,25-JAN-24,95,95,1
10900403,"thailand_hy_th",95,75,25-JAN-24,21-FEB-24,95,75,1
1091476,"thailand_gf_th",119,105,25-JAN-24,21-FEB-24,119,105,1
1091476,"thailand_hy_th",119,105,25-JAN-24,21-FEB-24,119,105,1
10918043,"thailand_gf_th",63,63,25-JAN-24,25-JAN-24,63,63,1
10918043,"thailand_hy_th",63,50,26-JAN-24,28-JAN-24,63,50,1
10929959,"thailand_gf_th",79,79,25-JAN-24,25-JAN-24,79,79,1
10929959,"thailand_hy_th",79,63,25-JAN-24,21-FEB-24,79,63,1
1097202,"thailand_gf_th",160,160,25-JAN-24,25-JAN-24,160,160,1
1097202,"thailand_hy_th",160,135,25-JAN-24,21-FEB-24,160,135,1
10979158,"thailand_gf_th",50,50,25-JAN-24,25-JAN-24,50,50,1
10979158,"thailand_hy_th",50,46,25-JAN-24,21-FEB-24,50,46,1
11011777,"thailand_gf_th",235,235,25-JAN-24,25-JAN-24,235,235,1
11011777,"thailand_hy_th",225,189,25-JAN-24,21-FEB-24,225,189,1
11011785,"thailand_gf_th",229,229,25-JAN-24,25-JAN-24,229,229,1
11011785,"thailand_hy_th",229,189,25-JAN-24,21-FEB-24,229,189,1
11027002,"thailand_gf_th",17,12,25-JAN-24,21-FEB-24,17,12,1
11027002,"thailand_hy_th",17,12,25-JAN-24,21-FEB-24,17,12,1
11049499,"thailand_gf_th",95,85,25-JAN-24,21-FEB-24,95,85,1
11049499,"thailand_hy_th",95,85,25-JAN-24,21-FEB-24,95,85,1
11049529,"thailand_gf_th",95,95,25-JAN-24,25-JAN-24,95,95,1
11049529,"thailand_hy_th",95,85,25-JAN-24,21-FEB-24,95,85,1
11052155,"thailand_gf_th",4590,4590,25-JAN-24,25-JAN-24,4590,4590,2
11052155,"thailand_hy_th",4590,2990,25-JAN-24,21-FEB-24,4590,2990,1
11075511,"thailand_gf_th",70,70,25-JAN-24,25-JAN-24,70,70,1
11075511,"thailand_hy_th",70,59,25-JAN-24,21-FEB-24,70,59,1
11078553,"thailand_gf_th",109,89,25-JAN-24,21-FEB-24,109,89,1
11078553,"thailand_hy_th",109,89,25-JAN-24,21-FEB-24,109,89,1
11113839,"thailand_gf_th",36,36,25-JAN-24,25-JAN-24,36,36,1
11113839,"thailand_hy_th",36,33,25-JAN-24,21-FEB-24,36,33,1
11123982,"thailand_gf_th",209,172,25-JAN-24,31-JAN-24,209,172,1
11123982,"thailand_hy_th",199,172,25-JAN-24,31-JAN-24,199,172,1
11129212,"thailand_gf_th",50,41,25-JAN-24,21-FEB-24,50,41,1
11129212,"thailand_hy_th",50,41,25-JAN-24,21-FEB-24,50,41,1
11129220,"thailand_gf_th",50,50,25-JAN-24,25-JAN-24,50,50,1
11129220,"thailand_hy_th",50,41,25-JAN-24,21-FEB-24,50,41,1
11129646,"thailand_gf_th",22,22,25-JAN-24,25-JAN-24,22,22,1
11129646,"thailand_hy_th",22,19,25-JAN-24,21-FEB-24,22,19,1
11129670,"thailand_gf_th",157,139,25-JAN-24,21-FEB-24,157,139,1
11129670,"thailand_hy_th",157,139,25-JAN-24,21-FEB-24,157,139,1
11136065,"thailand_gf_th",838,754,25-JAN-24,21-FEB-24,838,754,1
11136065,"thailand_hy_th",838,838,25-JAN-24,25-JAN-24,838,838,1
11176962,"thailand_gf_th",14,14,25-JAN-24,25-JAN-24,14,14,1
11176962,"thailand_hy_th",14,10,25-JAN-24,21-FEB-24,14,10,1
11290994,"thailand_gf_th",47,47,25-JAN-24,25-JAN-24,47,47,1
11290994,"thailand_hy_th",47,41,25-JAN-24,21-FEB-24,47,41,1
11291036,"thailand_gf_th",47,47,25-JAN-24,25-JAN-24,47,47,1
11291036,"thailand_hy_th",47,41,25-JAN-24,21-FEB-24,47,41,1
11291044,"thailand_gf_th",47,47,25-JAN-24,25-JAN-24,47,47,1
11291044,"thailand_hy_th",47,41,25-JAN-24,21-FEB-24,47,41,1
1132547,"thailand_gf_th",69,69,25-JAN-24,25-JAN-24,69,69,1
1132547,"thailand_hy_th",69,65,25-JAN-24,21-FEB-24,69,65,1
11330651,"thailand_gf_th",26,26,25-JAN-24,25-JAN-24,26,26,1
11330651,"thailand_hy_th",25,20,25-JAN-24,21-FEB-24,25,20,1
11332131,"thailand_gf_th",309,309,25-JAN-24,25-JAN-24,309,309,1
11332131,"thailand_hy_th",309,255,25-JAN-24,21-FEB-24,309,255,1
11332158,"thailand_gf_th",309,309,25-JAN-24,25-JAN-24,309,309,1
11332158,"thailand_hy_th",309,255,25-JAN-24,21-FEB-24,309,255,1
11333804,"thailand_gf_th",199,199,25-JAN-24,25-JAN-24,199,199,1
11333804,"thailand_hy_th",199,179,25-JAN-24,21-FEB-24,199,179,1
11333812,"thailand_gf_th",199,199,25-JAN-24,25-JAN-24,199,199,1
11333812,"thailand_hy_th",199,179,25-JAN-24,21-FEB-24,199,179,1
11343796,"thailand_gf_th",62,45,25-JAN-24,21-FEB-24,62,45,1
11343796,"thailand_hy_th",62,45,25-JAN-24,21-FEB-24,62,45,1
11361689,"thailand_gf_th",1190,1149,25-JAN-24,21-FEB-24,1190,1149,2
11361689,"thailand_hy_th",1190,1130,01-JAN-24,31-JAN-24,1190,1130,1
11369213,"thailand_gf_th",255,255,25-JAN-24,25-JAN-24,255,255,1
11369213,"thailand_hy_th",255,249,25-JAN-24,21-FEB-24,255,249,1
11369221,"thailand_gf_th",255,255,25-JAN-24,25-JAN-24,255,255,1
11369221,"thailand_hy_th",255,249,25-JAN-24,21-FEB-24,255,249,1
11369248,"thailand_gf_th",129,129,25-JAN-24,25-JAN-24,129,129,1
11369248,"thailand_hy_th",129,119,25-JAN-24,21-FEB-24,129,119,1
11369256,"thailand_gf_th",129,129,25-JAN-24,25-JAN-24,129,129,1
11369256,"thailand_hy_th",129,119,25-JAN-24,21-FEB-24,129,119,1
11404221,"thailand_gf_th",58,52,25-JAN-24,21-FEB-24,58,52,1
11404221,"thailand_hy_th",58,58,25-JAN-24,25-JAN-24,58,58,1
11407867,"thailand_gf_th",56,56,25-JAN-24,25-JAN-24,56,56,1
11407867,"thailand_hy_th",53,45,25-JAN-24,21-FEB-24,53,45,1
11435399,"thailand_gf_th",52,47,25-JAN-24,21-FEB-24,52,47,1
11435399,"thailand_hy_th",52,52,25-JAN-24,25-JAN-24,52,52,1
11435410,"thailand_gf_th",52,47,25-JAN-24,21-FEB-24,52,47,1
11435410,"thailand_hy_th",52,52,25-JAN-24,25-JAN-24,52,52,1
11435488,"thailand_gf_th",52,47,25-JAN-24,21-FEB-24,52,47,1
11435488,"thailand_hy_th",52,52,25-JAN-24,25-JAN-24,52,52,1
11441798,"thailand_gf_th",169,139,25-JAN-24,21-FEB-24,169,139,1
11685786,"thailand_hy_th",48,35,25-JAN-24,21-FEB-24,48,35,1
11685794,"thailand_gf_th",85,85,25-JAN-24,25-JAN-24,85,85,1
11685794,"thailand_hy_th",85,69,25-JAN-24,21-FEB-24,85,69,1
11685816,"thailand_gf_th",45,35,25-JAN-24,21-FEB-24,45,35,1
11685816,"thailand_hy_th",45,35,25-JAN-24,21-FEB-24,45,35,1
11685824,"thailand_gf_th",85,69,25-JAN-24,21-FEB-24,85,69,1
11685824,"thailand_hy_th",85,69,25-JAN-24,21-FEB-24,85,69,1
11701064,"thailand_gf_th",52,52,25-JAN-24,25-JAN-24,52,52,1
11701064,"thailand_hy_th",52,49,25-JAN-24,21-FEB-24,52,49,1
11716096,"thailand_gf_th",161,161,25-JAN-24,25-JAN-24,161,161,1
11716096,"thailand_hy_th",161,121,25-JAN-24,21-FEB-24,161,121,1
11716436,"thailand_gf_th",791,791,25-JAN-24,25-JAN-24,791,791,2
11716436,"thailand_hy_th",791,669,25-JAN-24,21-FEB-24,791,669,1
1182633,"thailand_gf_th",69,69,25-JAN-24,25-JAN-24,69,69,1
12504203,"thailand_gf_th",116,116,25-JAN-24,25-JAN-24,116,116,1
12504203,"thailand_hy_th",115,105,25-JAN-24,21-FEB-24,115,105,1
12504211,"thailand_gf_th",115,115,25-JAN-24,25-JAN-24,115,115,1
12504211,"thailand_hy_th",115,105,25-JAN-24,21-FEB-24,115,105,1
12526800,"thailand_gf_th",37,30,25-JAN-24,21-FEB-24,37,30,1
12526800,"thailand_hy_th",37,30,25-JAN-24,21-FEB-24,37,30,1
12526932,"thailand_gf_th",239,239,25-JAN-24,25-JAN-24,239,239,1
12526932,"thailand_hy_th",239,209,25-JAN-24,21-FEB-24,239,209,1
12579246,"thailand_gf_th",47,29,25-JAN-24,21-FEB-24,47,29,1
12579246,"thailand_hy_th",47,29,25-JAN-24,21-FEB-24,47,29,1
12580287,"thailand_gf_th",275,275,25-JAN-24,25-JAN-24,275,275,1
12580287,"thailand_hy_th",270,239,25-JAN-24,21-FEB-24,270,239,1
12580295,"thailand_gf_th",136,129,25-JAN-24,21-FEB-24,136,129,1
12580295,"thailand_hy_th",136,129,25-JAN-24,21-FEB-24,136,129,1
12634220,"thailand_gf_th",140,140,25-JAN-24,25-JAN-24,140,140,1
12634220,"thailand_hy_th",140,129,25-JAN-24,21-FEB-24,140,129,1
12687251,"thailand_gf_th",39,35,25-JAN-24,21-FEB-24,39,35,1
12687251,"thailand_hy_th",39,35,25-JAN-24,21-FEB-24,39,35,2
12746967,"thailand_gf_th",229,179,25-JAN-24,21-FEB-24,229,179,1
12746967,"thailand_hy_th",229,179,25-JAN-24,21-FEB-24,229,179,1
12805467,"thailand_gf_th",599,399,25-JAN-24,21-FEB-24,599,399,2
12805467,"thailand_hy_th",599,399,01-JAN-24,31-JAN-24,599,399,1
12875392,"thailand_gf_th",1050,979,25-JAN-24,21-FEB-24,1050,979,2
12875392,"thailand_hy_th",1050,960,01-JAN-24,31-JAN-24,1050,960,1
1287567,"thailand_gf_th",62,51,25-JAN-24,21-FEB-24,62,51,1
1287567,"thailand_hy_th",62,51,25-JAN-24,21-FEB-24,62,51,1
1287575,"thailand_gf_th",62,51,25-JAN-24,21-FEB-24,62,51,1
1287575,"thailand_hy_th",62,51,25-JAN-24,21-FEB-24,62,51,1
1287591,"thailand_gf_th",62,51,25-JAN-24,21-FEB-24,62,51,1
1287591,"thailand_hy_th",62,51,25-JAN-24,21-FEB-24,62,51,1
12918326,"thailand_gf_th",125,125,25-JAN-24,25-JAN-24,125,125,1
1182633,"thailand_hy_th",69,65,26-JAN-24,31-JAN-24,69,65,1
11885386,"thailand_gf_th",47,40,25-JAN-24,21-FEB-24,47,40,1
11885386,"thailand_hy_th",47,40,25-JAN-24,21-FEB-24,47,40,1
11886153,"thailand_gf_th",60,60,25-JAN-24,25-JAN-24,60,60,1
11886153,"thailand_hy_th",55,49,25-JAN-24,21-FEB-24,55,49,1
11886161,"thailand_gf_th",60,60,25-JAN-24,25-JAN-24,60,60,1
11886161,"thailand_hy_th",55,49,25-JAN-24,21-FEB-24,55,49,1
11886331,"thailand_gf_th",88,88,25-JAN-24,25-JAN-24,88,88,1
11886331,"thailand_hy_th",88,79,25-JAN-24,21-FEB-24,88,79,1
11909862,"thailand_gf_th",67,67,25-JAN-24,25-JAN-24,67,67,1
11909862,"thailand_hy_th",65,55,25-JAN-24,21-FEB-24,65,55,1
11951605,"thailand_gf_th",90,90,25-JAN-24,25-JAN-24,90,90,1
11951605,"thailand_hy_th",90,75.5,25-JAN-24,21-FEB-24,90,75.5,1
11951613,"thailand_gf_th",90,90,25-JAN-24,25-JAN-24,90,90,1
11951613,"thailand_hy_th",90,75.5,25-JAN-24,21-FEB-24,90,75.5,1
1199110,"thailand_gf_th",30,30,25-JAN-24,25-JAN-24,30,30,1
1199110,"thailand_hy_th",30,27,25-JAN-24,21-FEB-24,30,27,1
12002682,"thailand_gf_th",185,185,25-JAN-24,25-JAN-24,185,185,1
12002682,"thailand_hy_th",185,165,25-JAN-24,31-JAN-24,185,165,1
1201867,"thailand_gf_th",21,19,25-JAN-24,21-FEB-24,21,19,1
1201867,"thailand_hy_th",21,19,25-JAN-24,21-FEB-24,21,19,1
12036811,"thailand_gf_th",98,85,25-JAN-24,21-FEB-24,98,85,1
12036811,"thailand_hy_th",98,85,25-JAN-24,21-FEB-24,98,85,1
12065900,"thailand_gf_th",92,92,25-JAN-24,25-JAN-24,92,92,2
12065900,"thailand_hy_th",92,85,25-JAN-24,21-FEB-24,92,85,2
12125156,"thailand_gf_th",155,155,25-JAN-24,25-JAN-24,155,155,1
12125156,"thailand_hy_th",155,139,25-JAN-24,21-FEB-24,155,139,1
12125377,"thailand_gf_th",38,32,25-JAN-24,21-FEB-24,38,32,1
12125377,"thailand_hy_th",38,32,25-JAN-24,21-FEB-24,38,32,1
12132160,"thailand_gf_th",69,59,25-JAN-24,21-FEB-24,69,59,1
12132160,"thailand_hy_th",69,59,25-JAN-24,21-FEB-24,69,59,1
12134546,"thailand_gf_th",45,45,25-JAN-24,25-JAN-24,45,45,1
12134546,"thailand_hy_th",45,42,25-JAN-24,21-FEB-24,45,42,1
12159778,"thailand_gf_th",249,249,25-JAN-24,25-JAN-24,249,249,1
12159778,"thailand_hy_th",259,219,25-JAN-24,21-FEB-24,259,219,1
12159786,"thailand_gf_th",249,249,25-JAN-24,25-JAN-24,249,249,1
12159786,"thailand_hy_th",259,219,25-JAN-24,21-FEB-24,259,219,1
12160946,"thailand_gf_th",155,119,25-JAN-24,21-FEB-24,155,119,1
12160946,"thailand_hy_th",155,119,25-JAN-24,21-FEB-24,155,119,1
12192155,"thailand_gf_th",375,375,25-JAN-24,25-JAN-24,375,375,1
12192155,"thailand_hy_th",375,365,25-JAN-24,21-FEB-24,375,365,1
12195766,"thailand_gf_th",69,62,25-JAN-24,21-FEB-24,69,62,1
12195766,"thailand_hy_th",69,62,25-JAN-24,21-FEB-24,69,62,1
12204854,"thailand_gf_th",53,53,25-JAN-24,25-JAN-24,53,53,1
12204854,"thailand_hy_th",51.5,47,25-JAN-24,21-FEB-24,51.5,47,1
12204862,"thailand_gf_th",51.5,51.5,25-JAN-24,25-JAN-24,51.5,51.5,1
12204862,"thailand_hy_th",51.5,47,25-JAN-24,21-FEB-24,51.5,47,1
12205176,"thailand_gf_th",112,90,25-JAN-24,21-FEB-24,112,90,1
12205176,"thailand_hy_th",112,90,25-JAN-24,21-FEB-24,112,90,1
12303704,"thailand_gf_th",129,119,25-JAN-24,21-FEB-24,129,119,1
12303704,"thailand_hy_th",129,109,25-JAN-24,21-FEB-24,129,109,1
1233963,"thailand_gf_th",41,33,25-JAN-24,31-JAN-24,41,33,1
1233963,"thailand_hy_th",41,33,25-JAN-24,31-JAN-24,41,33,1
12350273,"thailand_gf_th",30,30,25-JAN-24,25-JAN-24,30,30,2
12350273,"thailand_hy_th",30,26,25-JAN-24,21-FEB-24,30,26,1
12350311,"thailand_gf_th",118,118,25-JAN-24,25-JAN-24,118,118,2
12350311,"thailand_hy_th",118,98,25-JAN-24,21-FEB-24,118,98,1
12350338,"thailand_gf_th",218,218,25-JAN-24,25-JAN-24,218,218,2
12350338,"thailand_hy_th",218,188,25-JAN-24,21-FEB-24,218,188,1
12451606,"thailand_gf_th",189,189,25-JAN-24,25-JAN-24,189,189,1
12451606,"thailand_hy_th",189,159,25-JAN-24,21-FEB-24,189,159,1
13186396,"thailand_hy_th",135,135,25-JAN-24,25-JAN-24,135,135,2
13186485,"thailand_gf_th",119,119,25-JAN-24,25-JAN-24,119,119,1
13186485,"thailand_hy_th",119,99,25-JAN-24,21-FEB-24,119,99,1
13190164,"thailand_gf_th",119,95,25-JAN-24,21-FEB-24,119,95,1
13190164,"thailand_hy_th",119,119,25-JAN-24,25-JAN-24,119,119,1
13190172,"thailand_gf_th",119,95,25-JAN-24,21-FEB-24,119,95,1
13190172,"thailand_hy_th",119,119,25-JAN-24,25-JAN-24,119,119,1
13212354,"thailand_gf_th",89,69,25-JAN-24,31-JAN-24,89,69,1
13212354,"thailand_hy_th",89,69,25-JAN-24,31-JAN-24,89,69,1
13212362,"thailand_gf_th",89,89,25-JAN-24,25-JAN-24,89,89,1
13212362,"thailand_hy_th",89,69,25-JAN-24,31-JAN-24,89,69,1
13212370,"thailand_gf_th",89,89,25-JAN-24,25-JAN-24,89,89,1
13212370,"thailand_hy_th",89,69,25-JAN-24,31-JAN-24,89,69,1
13224204,"thailand_gf_th",45,45,25-JAN-24,25-JAN-24,45,45,1
13224204,"thailand_hy_th",45,40,25-JAN-24,21-FEB-24,45,40,1
13232479,"thailand_gf_th",599,349,25-JAN-24,21-FEB-24,599,349,2
13232479,"thailand_hy_th",599,359,01-JAN-24,31-JAN-24,599,359,1
13233734,"thailand_gf_th",20,15,25-JAN-24,21-FEB-24,20,15,1
13233734,"thailand_hy_th",18,18,25-JAN-24,25-JAN-24,18,18,1
13234048,"thailand_gf_th",37,29,25-JAN-24,21-FEB-24,37,29,1
13234048,"thailand_hy_th",34,34,25-JAN-24,25-JAN-24,34,34,1
13238841,"thailand_gf_th",99,89,25-JAN-24,21-FEB-24,99,89,1
13238841,"thailand_hy_th",99,99,25-JAN-24,25-JAN-24,99,99,2
13238930,"thailand_gf_th",99,89,25-JAN-24,21-FEB-24,99,89,1
13238930,"thailand_hy_th",99,99,25-JAN-24,25-JAN-24,99,99,2
13258052,"thailand_gf_th",35,35,25-JAN-24,25-JAN-24,35,35,1
13258052,"thailand_hy_th",35,35,25-JAN-24,25-JAN-24,35,35,1
13275860,"thailand_gf_th",28,28,25-JAN-24,25-JAN-24,28,28,1
13275860,"thailand_hy_th",28,24,25-JAN-24,21-FEB-24,28,24,1
13327674,"thailand_gf_th",164,164,25-JAN-24,25-JAN-24,164,164,2
13327674,"thailand_hy_th",164,164,25-JAN-24,25-JAN-24,164,164,1
1363808,"thailand_hy_th",180,149,25-JAN-24,21-FEB-24,180,149,1
13666258,"thailand_gf_th",84,84,25-JAN-24,25-JAN-24,84,84,1
13666258,"thailand_hy_th",79,69,25-JAN-24,21-FEB-24,79,69,1
13666266,"thailand_gf_th",79,79,25-JAN-24,25-JAN-24,79,79,1
13666266,"thailand_hy_th",79,69,25-JAN-24,21-FEB-24,79,69,1
